ID,Município,Código IBGE
1,Abdon Batista,4200051
2,Abelardo Luz,4200101
3,Agrolândia,4200200
4,Agronômica,4200309
5,Água Doce,4200408
6,Águas de Chapecó,4200507
7,Águas Frias,4200556
8,Águas Mornas,4200606
9,Alfredo Wagner,4200705
10,Alto Bela Vista,4200754
11,Anchieta,4200804
12,Angelina,4200903
13,Anita Garibaldi,4201000
14,Anitápolis,4201109
15,Antônio Carlos,4201208
16,Apiúna,4201257
17,Arabutã,4201273
18,Araquari,4201307
19,Araranguá,4201406
20,Armazém,4201505
21,Arroio Trinta,4201604
22,Arvoredo,4201653
23,Ascurra,4201703
24,Atalanta,4201802
25,Aurora,4201901
26,Balneário Arroio do Silva,4201950
27,Balneário Barra do Sul,4202057
28,Balneário Camboriú,4202008
29,Balneário Gaivota,4202073
30,Balneário Piçarras,4212809
31,Balneário Rincão,4220000
32,Bandeirante,4202081
33,Barra Bonita,4202099
34,Barra Velha,4202107
35,Bela Vista do Toldo,4202131
36,Belmonte,4202156
37,Benedito Novo,4202206
38,Biguaçu,4202305
39,Blumenau,4202404
40,Bocaina do Sul,4202438
41,Bom Jardim da Serra,4202503
42,Bom Jesus,4202537
43,Bom Jesus do Oeste,4202578
44,Bom Retiro,4202602
45,Bombinhas,4202453
46,Botuverá,4202701
47,Braço do Norte,4202800
48,Braço do Trombudo,4202859
49,Brunópolis,4202875
50,Brusque,4202909
51,Caçador,4203006
52,Caibi,4203105
53,Calmon,4203154
54,Camboriú,4203204
55,Campo Alegre,4203303
56,Campo Belo do Sul,4203402
57,Campo Erê,4203501
58,Campos Novos,4203600
59,Canelinha,4203709
60,Canoinhas,4203808
61,Capão Alto,4203253
62,Capinzal,4203907
63,Capivari de Baixo,4203956
64,Catanduvas,4204004
65,Caxambu do Sul,4204103
66,Celso Ramos,4204152
67,Cerro Negro,4204178
68,Chapadão do Lageado,4204194
69,Chapecó,4204202
70,Cocal do Sul,4204251
71,Concórdia,4204301
72,Cordilheira Alta,4204350
73,Coronel Freitas,4204400
74,Coronel Martins,4204459
75,Correia Pinto,4204558
76,Corupá,4204509
77,Criciúma,4204608
78,Cunha Porã,4204707
79,Cunhataí,4204756
80,Curitibanos,4204806
81,Descanso,4204905
82,Dionísio Cerqueira,4205001
83,Dona Emma,4205100
84,Doutor Pedrinho,4205159
85,Entre Rios,4205175
86,Ermo,4205191
87,Erval Velho,4205209
88,Faxinal dos Guedes,4205308
89,Flor do Sertão,4205357
90,Florianópolis,4205407
91,Formosa do Sul,4205431
92,Forquilhinha,4205456
93,Fraiburgo,4205506
94,Frei Rogério,4205555
95,Galvão,4205605
96,Garopaba,4205704
97,Garuva,4205803
98,Gaspar,4205902
99,Governador Celso Ramos,4206009
