sk_municipio,nm_municipio,nm_pais,nm_estado,nm_uf,longitude,latitude,cd_ibge,Match_Type_IBGE,Match_Score_IBGE
1,Abdon Batista,Brasil,Santa Catarina,SC,"-51,02527221","-27,6089871",4200051,Exact,100
2,Abelardo Luz,Brasil,Santa Catarina,SC,"-52,33648238","-26,56303102",4200101,Exact,100
3,Agrolândia,Brasil,Santa Catarina,SC,"-49,82565339","-27,40051659",4200200,Exact,100
4,Agronômica,Brasil,Santa Catarina,SC,"-49,71836889","-27,26971611",4200309,Exact,100
5,Água Doce,Brasil,Santa Catarina,SC,"-51,55909656","-27,00409166",4200408,Exact,100
6,Águas de Chapecó,Brasil,Santa Catarina,SC,"-52,98725101","-27,07621291",4200507,Exact,100
7,Águas Frias,Brasil,Santa Catarina,SC,"-52,85941945","-26,88022754",4200556,Exact,100
8,Águas Mornas,Brasil,Santa Catarina,SC,"-48,8405384","-27,70659719",4200606,Exact,100
9,Alfredo Wagner,Brasil,Santa Catarina,SC,"-49,3438123","-27,7053963",4200705,Exact,100
10,Alto Bela Vista,Brasil,Santa Catarina,SC,"-51,91103685","-27,43113788",4200754,Exact,100
11,Anchieta,Brasil,Santa Catarina,SC,"-53,33327018","-26,53568086",4200804,Exact,100
12,Angelina,Brasil,Santa Catarina,SC,"-48,98347606","-27,5822574",4200903,Exact,100
13,Anita Garibaldi,Brasil,Santa Catarina,SC,"-51,13119387","-27,68377729",4201000,Exact,100
14,Anitápolis,Brasil,Santa Catarina,SC,"-49,13159937","-27,9098869",4201109,Exact,100
15,Antônio Carlos,Brasil,Santa Catarina,SC,"-48,76496003","-27,51337105",4201208,Exact,100
16,Apiúna,Brasil,Santa Catarina,SC,"-49,39163763","-27,0418126",4201257,Exact,100
17,Arabutã,Brasil,Santa Catarina,SC,"-52,14859926","-27,1574037",4201273,Exact,100
18,Araquari,Brasil,Santa Catarina,SC,"-48,69270741","-26,37595155",4201307,Exact,100
19,Araranguá,Brasil,Santa Catarina,SC,"-49,48096652","-28,93575201",4201406,Exact,100
20,Armazém,Brasil,Santa Catarina,SC,"-49,01291108","-28,25870547",4201505,Exact,100
21,Arroio Trinta,Brasil,Santa Catarina,SC,"-51,33412392","-26,93256486",4201604,Exact,100
22,Arvoredo,Brasil,Santa Catarina,SC,"-52,45778884","-27,0735336",4201653,Exact,100
23,Ascurra,Brasil,Santa Catarina,SC,"-49,38636343","-26,95477584",4201703,Exact,100
24,Atalanta,Brasil,Santa Catarina,SC,"-49,77945667","-27,420536",4201802,Exact,100
25,Aurora,Brasil,Santa Catarina,SC,"-49,64362791","-27,29902949",4201901,Exact,100
26,Balneário Camboriú,Brasil,Santa Catarina,SC,"-48,63461748","-26,99181861",4202008,Exact,100
27,Balneário Arroio do Silva,Brasil,Santa Catarina,SC,"-49,4057028","-28,9804025",4201950,Exact,100
28,Balneário Barra do Sul,Brasil,Santa Catarina,SC,"-48,60664588","-26,45642957",4202057,Exact,100
29,Balneário Gaivota,Brasil,Santa Catarina,SC,"-49,59089378","-29,1645213",4202073,Exact,100
30,Balneário Piçarras,Brasil,Santa Catarina,SC,"-48,67505135","-26,76917054",4212809,Exact,100
31,Balneário Rincão,Brasil,Santa Catarina,SC,"-49,236111","-28,834444",4220000,Exact,100
32,Bandeirante,Brasil,Santa Catarina,SC,"-53,64104959","-26,7689379",4202081,Exact,100
33,Barra Bonita,Brasil,Santa Catarina,SC,"-53,44130254","-26,6522936",4202099,Exact,100
34,Barra Velha,Brasil,Santa Catarina,SC,"-48,68386427","-26,63436141",4202107,Exact,100
35,Bela Vista do Toldo,Brasil,Santa Catarina,SC,"-50,46478824","-26,2762283",4202131,Exact,100
36,Benedito Novo,Brasil,Santa Catarina,SC,"-49,36440275","-26,7775076",4202206,Exact,100
37,Biguaçu,Brasil,Santa Catarina,SC,"-48,65448893","-27,49432274",4202305,Exact,100
38,Blumenau,Brasil,Santa Catarina,SC,"-49,05763088","-26,91610771",4202404,Exact,100
39,Bocaina do Sul,Brasil,Santa Catarina,SC,"-49,94589791","-27,7431983",4202438,Exact,100
40,Bom Jardim da Serra,Brasil,Santa Catarina,SC,"-49,62497775","-28,3379472",4202503,Exact,100
41,Bom Jesus,Brasil,Santa Catarina,SC,"-52,39301596","-26,7359234",4202537,Exact,100
