data,sk_loja,sk_municipio,sk_produto,sk_vendedor,sk_cliente,qt_realizado,UTC
01/01/15,1,89,8,1,12,5,28/05/2025 08:29:53
01/01/15,1,89,8,1,9,4,28/05/2025 08:29:53
01/01/15,2,181,8,2,9,14,28/05/2025 08:29:53
01/01/15,2,181,8,2,10,15,28/05/2025 08:29:53
01/01/15,3,37,8,3,4,14,28/05/2025 08:29:53
01/01/15,3,37,8,3,17,59,28/05/2025 08:29:53
01/01/15,4,248,8,4,18,59,28/05/2025 08:29:53
01/01/15,4,248,8,4,5,30,28/05/2025 08:29:53
01/01/15,5,138,8,5,9,55,28/05/2025 08:29:53
01/01/15,5,138,8,5,11,56,28/05/2025 08:29:53
01/01/15,6,135,8,6,15,58,28/05/2025 08:29:53
01/01/15,6,135,8,6,11,56,28/05/2025 08:29:53
01/01/15,7,199,8,7,14,57,28/05/2025 08:29:53
01/01/15,7,199,8,7,1,19,28/05/2025 08:29:53
01/01/15,8,242,8,8,18,59,28/05/2025 08:29:53
01/01/15,8,242,8,8,9,55,28/05/2025 08:29:53
01/02/15,1,89,8,1,15,6,28/05/2025 08:29:53
01/02/15,1,89,8,1,15,6,28/05/2025 08:29:53
01/02/15,2,181,8,2,15,23,28/05/2025 08:29:53
01/02/15,2,181,8,2,9,14,28/05/2025 08:29:53
01/02/15,3,37,8,3,1,4,28/05/2025 08:29:53
01/02/15,3,37,8,3,4,14,28/05/2025 08:29:53
01/02/15,4,248,8,4,6,36,28/05/2025 08:29:53
01/02/15,4,248,8,4,3,18,28/05/2025 08:29:53
01/02/15,5,138,8,5,5,47,28/05/2025 08:29:53
01/02/15,5,138,8,5,14,57,28/05/2025 08:29:53
01/02/15,6,135,8,6,6,53,28/05/2025 08:29:53
01/02/15,6,135,8,6,20,60,28/05/2025 08:29:53
01/02/15,7,199,8,7,7,54,28/05/2025 08:29:53
01/02/15,7,199,8,7,7,54,28/05/2025 08:29:53
01/02/15,8,242,8,8,3,52,28/05/2025 08:29:53
01/02/15,8,242,8,8,12,56,28/05/2025 08:29:53
01/03/15,1,89,8,1,12,5,28/05/2025 08:29:53
01/03/15,1,89,8,1,6,3,28/05/2025 08:29:53
01/03/15,2,181,8,2,8,12,28/05/2025 08:29:53
01/03/15,2,181,8,2,14,21,28/05/2025 08:29:53
01/03/15,3,37,8,3,11,38,28/05/2025 08:29:53
01/03/15,3,37,8,3,8,27,28/05/2025 08:29:53
01/03/15,4,248,8,4,15,58,28/05/2025 08:29:53
01/03/15,4,248,8,4,19,60,28/05/2025 08:29:53
01/03/15,5,138,8,5,9,55,28/05/2025 08:29:53
01/03/15,5,138,8,5,6,53,28/05/2025 08:29:53
01/03/15,6,135,8,6,11,56,28/05/2025 08:29:53
01/03/15,6,135,8,6,3,41,28/05/2025 08:29:53
01/03/15,7,199,8,7,13,57,28/05/2025 08:29:53
01/03/15,7,199,8,7,9,55,28/05/2025 08:29:53
01/03/15,8,242,8,8,15,58,28/05/2025 08:29:53
01/03/15,8,242,8,8,2,48,28/05/2025 08:29:53
01/04/15,1,89,8,1,7,3,28/05/2025 08:29:53
01/04/15,1,89,8,1,2,1,28/05/2025 08:29:53
01/04/15,2,181,8,2,18,27,28/05/2025 08:29:53
01/04/15,2,181,8,2,10,15,28/05/2025 08:29:53
01/04/15,3,37,8,3,20,60,28/05/2025 08:29:53
01/04/15,3,37,8,3,12,41,28/05/2025 08:29:53
01/04/15,4,248,8,4,8,48,28/05/2025 08:29:53
01/04/15,4,248,8,4,14,57,28/05/2025 08:29:53
01/04/15,5,138,8,5,3,29,28/05/2025 08:29:53
01/04/15,5,138,8,5,15,58,28/05/2025 08:29:53
01/04/15,6,135,8,6,9,55,28/05/2025 08:29:53
01/04/15,6,135,8,6,6,53,28/05/2025 08:29:53
01/04/15,7,199,8,7,7,54,28/05/2025 08:29:53
01/04/15,7,199,8,7,8,54,28/05/2025 08:29:53
01/04/15,8,242,8,8,5,53,28/05/2025 08:29:53
01/04/15,8,242,8,8,6,53,28/05/2025 08:29:53
01/05/15,1,89,8,1,13,5,28/05/2025 08:29:53
01/05/15,1,89,8,1,11,5,28/05/2025 08:29:53
01/05/15,2,181,8,2,19,29,28/05/2025 08:29:53
01/05/15,2,181,8,2,10,15,28/05/2025 08:29:53
01/05/15,3,37,8,3,11,38,28/05/2025 08:29:53
01/05/15,3,37,8,3,19,60,28/05/2025 08:29:53
01/05/15,4,248,8,4,9,55,28/05/2025 08:29:53
01/05/15,4,248,8,4,17,59,28/05/2025 08:29:53
01/05/15,5,138,8,5,11,56,28/05/2025 08:29:53
01/05/15,5,138,8,5,14,57,28/05/2025 08:29:53
01/05/15,6,135,8,6,18,59,28/05/2025 08:29:53
01/05/15,6,135,8,6,8,54,28/05/2025 08:29:53
01/05/15,7,199,8,7,6,53,28/05/2025 08:29:53
01/05/15,7,199,8,7,20,60,28/05/2025 08:29:53
01/05/15,8,242,8,8,16,58,28/05/2025 08:29:53
01/05/15,8,242,8,8,7,54,28/05/2025 08:29:53
01/06/15,1,89,8,1,10,4,28/05/2025 08:29:53
01/06/15,1,89,8,1,17,7,28/05/2025 08:29:53
01/06/15,2,181,8,2,8,12,28/05/2025 08:29:53
01/06/15,2,181,8,2,6,9,28/05/2025 08:29:53
01/06/15,3,37,8,3,9,31,28/05/2025 08:29:53
01/06/15,3,37,8,3,11,38,28/05/2025 08:29:53
01/06/15,4,248,8,4,2,12,28/05/2025 08:29:53
01/06/15,4,248,8,4,3,18,28/05/2025 08:29:53
01/06/15,5,138,8,5,4,38,28/05/2025 08:29:53
01/06/15,5,138,8,5,5,47,28/05/2025 08:29:53
01/06/15,6,135,8,6,14,57,28/05/2025 08:29:53
01/06/15,6,135,8,6,13,57,28/05/2025 08:29:53
01/06/15,7,199,8,7,19,60,28/05/2025 08:29:53
01/06/15,7,199,8,7,4,52,28/05/2025 08:29:53
01/06/15,8,242,8,8,7,54,28/05/2025 08:29:53
01/06/15,8,242,8,8,13,57,28/05/2025 08:29:53
01/07/15,1,89,8,1,13,5,28/05/2025 08:29:53
01/07/15,1,89,8,1,18,7,28/05/2025 08:29:53
01/07/15,2,181,8,2,8,12,28/05/2025 08:29:53
01/07/15,2,181,8,2,11,17,28/05/2025 08:29:53
01/07/15,3,37,8,3,16,58,28/05/2025 08:29:53
01/07/15,3,37,8,3,6,21,28/05/2025 08:29:53
01/07/15,4,248,8,4,5,30,28/05/2025 08:29:53
01/07/15,4,248,8,4,8,48,28/05/2025 08:29:53
01/07/15,5,138,8,5,16,58,28/05/2025 08:29:53
01/07/15,5,138,8,5,1,10,28/05/2025 08:29:53
01/07/15,6,135,8,6,19,60,28/05/2025 08:29:53
01/07/15,6,135,8,6,7,54,28/05/2025 08:29:53
01/07/15,7,199,8,7,11,56,28/05/2025 08:29:53
01/07/15,7,199,8,7,20,60,28/05/2025 08:29:53
01/07/15,8,242,8,8,20,60,28/05/2025 08:29:53
01/07/15,8,242,8,8,19,60,28/05/2025 08:29:53
01/08/15,1,89,8,1,1,1,28/05/2025 08:29:53
01/08/15,1,89,8,1,14,6,28/05/2025 08:29:53
01/08/15,2,181,8,2,13,20,28/05/2025 08:29:53
01/08/15,2,181,8,2,5,8,28/05/2025 08:29:53
01/08/15,3,37,8,3,18,59,28/05/2025 08:29:53
01/08/15,3,37,8,3,14,48,28/05/2025 08:29:53
01/08/15,4,248,8,4,2,12,28/05/2025 08:29:53
01/08/15,4,248,8,4,10,55,28/05/2025 08:29:53
01/08/15,5,138,8,5,4,38,28/05/2025 08:29:53
01/08/15,5,138,8,5,7,54,28/05/2025 08:29:53
01/08/15,6,135,8,6,11,56,28/05/2025 08:29:53
01/08/15,6,135,8,6,20,60,28/05/2025 08:29:53
01/08/15,7,199,8,7,10,55,28/05/2025 08:29:53
01/08/15,7,199,8,7,1,19,28/05/2025 08:29:53
01/08/15,8,242,8,8,18,59,28/05/2025 08:29:53
01/08/15,8,242,8,8,2,48,28/05/2025 08:29:53
01/09/15,1,89,8,1,10,4,28/05/2025 08:29:53
01/09/15,1,89,8,1,20,8,28/05/2025 08:29:53
01/09/15,2,181,8,2,11,17,28/05/2025 08:29:53
01/09/15,2,181,8,2,13,20,28/05/2025 08:29:53
01/09/15,3,37,8,3,1,4,28/05/2025 08:29:53
01/09/15,3,37,8,3,7,24,28/05/2025 08:29:53
01/09/15,4,248,8,4,17,59,28/05/2025 08:29:53
01/09/15,4,248,8,4,7,42,28/05/2025 08:29:53
01/09/15,5,138,8,5,2,19,28/05/2025 08:29:53
01/09/15,5,138,8,5,13,57,28/05/2025 08:29:53
01/09/15,6,135,8,6,4,52,28/05/2025 08:29:53
