Município [-],Código [-],Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],População estimada - pessoas [2024],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2023],Total de despesas brutas empenhadas - R$ [2023],PIB per capita - R$ [2021]
Abdon Batista,4200051,abdonense,LUCIMAR ANTONIO SALMORIA,237.517,2598,10.94,2633,100,0.694,33.33,37360629.58,33455634.15,29646.51
Abelardo Luz,4200101,abelardense,NERCI SANTIN,953.992,17392,18.23,17736,97.1,0.696,23.17,126960250.1,114596565.8,43621.44
Agrolândia,4200200,agrolandense,GIANFRANCO CHRISTIANO MOHR,206.815,10990,53.14,11491,97,0.725,-,75407455.69,65713134.58,35492.31
Agronômica,4200309,agronomense,VOLNEI RODRIGUES,129.774,6055,46.66,6394,94.4,0.741,-,40712941.73,36789927.59,41807.92
Água Doce,4200408,água-docense,GIOVANI LUIZ BRANDALISE,1327.911,6508,4.93,6625,97.9,0.698,23.26,78707884.67,68519678.72,90930.69
Águas de Chapecó,4200507,aguense,OSCAR BARELA,139.511,6036,43.27,6128,99.3,0.713,14.29,43518693.63,39012794.81,21040.34
Águas Frias,4200556,águasfriense,WESLEY TERRIBILE,76.631,2839,37.05,2963,100,0.745,-,34586347.27,31272965.1,69655.52
Águas Mornas,4200606,águas-mornense,PEDRO FRANCISCO GARCIA,326.66,6743,20.64,7082,98.7,0.723,-,48790610.58,44444660,30026.7
Alfredo Wagner,4200705,alfredense,GILMAR SANI,733.489,10481,14.29,10862,92.8,0.668,10.99,252430855.3,232270080.8,33191.8
Alto Bela Vista,4200754,bela-vistense,ADIR FLAVIO SVIDERSKEI,103.433,1856,17.94,1860,98.7,0.755,-,36837298.3,26883204.42,41248.18
Anchieta,4200804,anchietense,MOACIR PEDRO PIOVEZANI,232.348,5943,25.58,5984,99.8,0.699,-,43389354.52,38992786.85,37207.3
Angelina,4200903,angelinense,ELISEU JOSE COELHO,499.998,5358,10.72,5472,99.3,0.687,22.22,42220708.61,36484735.02,37247.98
Anita Garibaldi,4201000,anita-garibaldense,HENRIQUE MENEGAZZO,589.812,8285,14.05,8367,96.1,0.688,-,57012868.17,49405142.83,34127.28
Anitápolis,4201109,anitapolitano,SOLANGE BACK,540.636,3593,6.65,3726,98.5,0.674,-,34531643.69,29295976.23,26235.15
Antônio Carlos,4201208,antônio-carlense,ONÉLIO RICHARTZ,234.422,11224,47.88,12118,96.5,0.749,23.44,87846722.58,72863267.52,91422.34
Apiúna,4201257,apiunense,MARCELO DOUTEL DA SILVA,493.49,9811,19.88,10020,97.8,0.708,7.14,77950766.3,70543905.63,40398.52
Arabutã,4201273,arabutanense,OLGUIN RICARDO METZ,132.585,4378,32.97,4487,99.6,0.733,23.81,49312095.06,44938547.02,66635.06
Araquari,4201307,araquariense,LUDGERO JASPER JUNIOR,386.693,45283,117.1,50178,96,0.703,5.07,404850702.1,348658109.2,183116.55
Araranguá,4201406,araranguaense,CÉSAR ANTONIO CESA,301.806,71922,238.3,75597,98.4,0.76,13.56,316951555.3,281411834.8,34317.67
Armazém,4201505,armazenense,LUIZ PAULO RODRIGUES MENDES,173.958,8834,50.78,9188,98.4,0.77,8.55,59585173.45,47729352.8,30763.41
Arroio Trinta,4201604,arroio-trintense,ANTONIO SERIGHELLI,93.53,3556,38.02,3628,99.3,0.764,25,46675753.3,37187083.45,35505.67
Arvoredo,4201653,arvoredense,AGENOR JOSE ZANCO,90.503,2510,27.73,2600,97.6,0.715,-,37123845.14,30134505.43,91500.25
Ascurra,4201703,ascurrense,ARAO JOSINO DA SILVA,112.884,8319,73.7,8635,98,0.742,9.71,46228824.12,47411160.75,30537.45
Atalanta,4201802,atalantense,CLAUDIO VOLNEI SENS,94.383,3227,34.19,3270,98.9,0.733,19.61,33310182.4,27450995.14,39623.72
Aurora,4201901,aurorense,VANDERLEI ZANDONAI,207.045,6780,32.75,7127,99.3,0.733,9.62,46557566.22,43595552.35,71547.9
Balneário Arroio do Silva,4201950,arroio-silvense,EVANDRO SCAINI,94.315,15820,167.45,17215,98.1,0.746,18.29,90987086.38,83330750.38,16094.47
Balneário Camboriú,4202008,balneocamboriuense,JULIANA PAVAN VON BORSTEL,45.214,139155,3077.7,148758,98.3,0.845,7.86,1652862347,1585870278,49301.41
Balneário Barra do Sul,4202057,barrassulense,ADEMAR HENRIQUE BORGES,108.914,14912,136.92,16360,98.7,0.716,5.92,99318911.26,84107991.47,22583.61
Balneário Gaivota,4202073,gaivotense,EVERALDO DOS SANTOS,146.834,15669,106.71,17306,98.7,0.728,4.9,91449348.15,81745746.64,18802.13
Bandeirante,4202081,bandeirantense,EDER LUIZ MARCON,148.074,3144,21.23,3243,99.3,0.672,47.62,33282241.21,33682610.24,39039.04
Barra Bonita,4202099,barrabonitense,AGNALDO DERESZ,92.934,1668,18.02,1662,96.5,0.701,-,26731529.05,24696914.49,32170.94
