cd_ibge,wiki
4200051,https://pt.wikipedia.org/wiki/Abdon_Batista_(Santa_Catarina)
4200101,https://pt.wikipedia.org/wiki/Abelardo_Luz
4200200,https://pt.wikipedia.org/wiki/Agrol%C3%A2ndia
4200309,https://pt.wikipedia.org/wiki/Agron%C3%B4mica
4200408,https://pt.wikipedia.org/wiki/%C3%81gua_Doce_(Santa_Catarina)
4200507,https://pt.wikipedia.org/wiki/%C3%81guas_de_Chapec%C3%B3
4200556,https://pt.wikipedia.org/wiki/%C3%81guas_Frias_(Santa_Catarina)
4200606,https://pt.wikipedia.org/wiki/%C3%81guas_Mornas
4200705,https://pt.wikipedia.org/wiki/Alfredo_Wagner
4200754,https://pt.wikipedia.org/wiki/Alto_Bela_Vista
4200804,https://pt.wikipedia.org/wiki/Anchieta_(Santa_Catarina)
4200903,https://pt.wikipedia.org/wiki/Angelina
4201000,https://pt.wikipedia.org/wiki/Anita_Garibaldi_(Santa_Catarina)
4201109,https://pt.wikipedia.org/wiki/Anit%C3%A1polis
4201208,https://pt.wikipedia.org/wiki/Ant%C3%B4nio_Carlos_(Santa_Catarina)
4201257,https://pt.wikipedia.org/wiki/Api%C3%BAna
4201273,https://pt.wikipedia.org/wiki/Arabut%C3%A3
4201307,https://pt.wikipedia.org/wiki/Araquari
4201406,https://pt.wikipedia.org/wiki/Ararangu%C3%A1
4201505,https://pt.wikipedia.org/wiki/Armaz%C3%A9m_(Santa_Catarina)
4201604,https://pt.wikipedia.org/wiki/Arroio_Trinta
4201653,https://pt.wikipedia.org/wiki/Arvoredo
4201703,https://pt.wikipedia.org/wiki/Ascurra
4201802,https://pt.wikipedia.org/wiki/Atalanta
4201901,https://pt.wikipedia.org/wiki/Aurora_(Santa_Catarina)
4201950,https://pt.wikipedia.org/wiki/Balne%C3%A1rio_Arroio_do_Silva
4202057,https://pt.wikipedia.org/wiki/Balne%C3%A1rio_Barra_do_Sul
4202008,https://pt.wikipedia.org/wiki/Balne%C3%A1rio_Cambori%C3%BA
4202073,https://pt.wikipedia.org/wiki/Balne%C3%A1rio_Gaivota
4212809,https://pt.wikipedia.org/wiki/Balne%C3%A1rio_Pi%C3%A7arras
4220000,https://pt.wikipedia.org/wiki/Balne%C3%A1rio_Rinc%C3%A3o
4202081,https://pt.wikipedia.org/wiki/Bandeirante_(Santa_Catarina)
4202099,https://pt.wikipedia.org/wiki/Barra_Bonita_(Santa_Catarina)
4202107,https://pt.wikipedia.org/wiki/Barra_Velha
4202131,https://pt.wikipedia.org/wiki/Bela_Vista_do_Toldo
4202156,https://pt.wikipedia.org/wiki/Belmonte_(Santa_Catarina)
4202206,https://pt.wikipedia.org/wiki/Benedito_Novo
4202305,https://pt.wikipedia.org/wiki/Bigua%C3%A7u
4202404,https://pt.wikipedia.org/wiki/Blumenau
4202438,https://pt.wikipedia.org/wiki/Bocaina_do_Sul
4202503,https://pt.wikipedia.org/wiki/Bom_Jardim_da_Serra
4202537,https://pt.wikipedia.org/wiki/Bom_Jesus_(Santa_Catarina)
4202578,https://pt.wikipedia.org/wiki/Bom_Jesus_do_Oeste
4202602,https://pt.wikipedia.org/wiki/Bom_Retiro
4202453,https://pt.wikipedia.org/wiki/Bombinhas
4202701,https://pt.wikipedia.org/wiki/Botuver%C3%A1
4202800,https://pt.wikipedia.org/wiki/Bra%C3%A7o_do_Norte
4202859,https://pt.wikipedia.org/wiki/Bra%C3%A7o_do_Trombudo
4202875,https://pt.wikipedia.org/wiki/Brun%C3%B3polis
4202909,https://pt.wikipedia.org/wiki/Brusque
